rank,team,sum,matches,average
1,Manchester United,1.415.471,19,74.498
2,Arsenal FC,1.138.072,19,59.899
3,West Ham United,1.108.375,19,58.336
4,Tottenham Hotspur,1.030.111,19,54.216
5,Manchester City,1.028.477,19,54.130
6,Liverpool FC,1.006.668,19,52.983
7,Newcastle United,971.297,19,51.121
8,Chelsea FC,768.297,19,40.437
9,Everton FC,736.815,19,38.780
10,Leicester City,605.161,19,31.851
11,Cardiff City,596.844,19,31.413
12,Wolverhampton Wanderers,589.572,19,31.030
13,Brighton & Hove Albion,578.085,19,30.426
14,Southampton FC,572.640,19,30.139
15,Crystal Palace,483.644,19,25.455
16,Fulham FC,463.051,19,24.371
17,Huddersfield Town,440.822,19,23.201
18,Burnley FC,390.148,19,20.534
19,Watford FC,380.297,19,20.016
20,AFC Bournemouth,200.107,19,10.532
