date,sunrise,sunset,day_length
"1 January 2019, Tuesday",08:06,16:01,07:54
"2 January 2019, Wednesday",08:06,16:02,07:55
"3 January 2019, Thursday",08:06,16:03,07:56
"4 January 2019, Friday",08:06,16:04,07:58
"5 January 2019, Saturday",08:06,16:05,07:59
"6 January 2019, Sunday",08:05,16:06,08:01
"7 January 2019, Monday",08:05,16:08,08:02
"8 January 2019, Tuesday",08:04,16:09,08:04
"9 January 2019, Wednesday",08:04,16:10,08:06
"10 January 2019, Thursday",08:03,16:12,08:08
"11 January 2019, Friday",08:03,16:13,08:10
"12 January 2019, Saturday",08:02,16:15,08:12
"13 January 2019, Sunday",08:01,16:16,08:14
"14 January 2019, Monday",08:01,16:18,08:16
"15 January 2019, Tuesday",08:00,16:19,08:19
"16 January 2019, Wednesday",07:59,16:21,08:21
"17 January 2019, Thursday",07:58,16:22,08:24
"18 January 2019, Friday",07:57,16:24,08:26
"19 January 2019, Saturday",07:56,16:26,08:29
"20 January 2019, Sunday",07:55,16:27,08:32
"21 January 2019, Monday",07:54,16:29,08:34
"22 January 2019, Tuesday",07:53,16:31,08:37
"23 January 2019, Wednesday",07:52,16:32,08:40
"24 January 2019, Thursday",07:51,16:34,08:43
"25 January 2019, Friday",07:49,16:36,08:46
"26 January 2019, Saturday",07:48,16:37,08:49
"27 January 2019, Sunday",07:47,16:39,08:52
"28 January 2019, Monday",07:45,16:41,08:55
"29 January 2019, Tuesday",07:44,16:43,08:58
"30 January 2019, Wednesday",07:43,16:45,09:02
"31 January 2019, Thursday",07:41,16:46,09:05
"1 February 2019, Friday",07:40,16:48,09:08
"2 February 2019, Saturday",07:38,16:50,09:11
"3 February 2019, Sunday",07:36,16:52,09:15
"4 February 2019, Monday",07:35,16:54,09:18
"5 February 2019, Tuesday",07:33,16:55,09:22
"6 February 2019, Wednesday",07:32,16:57,09:25
"7 February 2019, Thursday",07:30,16:59,09:29
"8 February 2019, Friday",07:28,17:01,09:32
"9 February 2019, Saturday",07:26,17:03,09:36
"10 February 2019, Sunday",07:25,17:05,09:39
"11 February 2019, Monday",07:23,17:06,09:43
"12 February 2019, Tuesday",07:21,17:08,09:47
"13 February 2019, Wednesday",07:19,17:10,09:50
"14 February 2019, Thursday",07:17,17:12,09:54
"15 February 2019, Friday",07:15,17:14,09:58
"16 February 2019, Saturday",07:13,17:15,10:02
"17 February 2019, Sunday",07:11,17:17,10:05
"18 February 2019, Monday",07:10,17:19,10:09
"19 February 2019, Tuesday",07:08,17:21,10:13
